Collection_UnsafeIterator @ TypeWriter.java:1249: 1 Unique Traces, 18 Redundant Traces, 1 Preserved, 18 Remained 
Collection_UnsafeIterator @ TypeWriter.java:6002: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ TypeWriter.java:6006: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ TypeWriter.java:6026: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ TypeWriter.java:6036: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ TypeWriter.java:6039: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ TypeWriter.java:6042: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ Util.java:45: 28 Unique Traces, 2301088 Redundant Traces, 7 Preserved, 59993 Remained 
Collection_UnsafeIterator @ Util.java:72: 8 Unique Traces, 985695 Redundant Traces, 3 Preserved, 49139 Remained 
Collection_UnsafeIterator @ Visualizer.java:84: 8 Unique Traces, 20445 Redundant Traces, 6 Preserved, 1036 Remained 
Collection_UnsafeIterator @ Visualizer.java:97: 7 Unique Traces, 0 Redundant Traces, 7 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ ByteCodeAppender.java:141: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Collection_UnsynchronizedAddAll @ CompoundList.java:48: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsynchronizedAddAll @ CompoundList.java:66: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsynchronizedAddAll @ CompoundList.java:82: 1 Unique Traces, 22 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsynchronizedAddAll @ CompoundList.java:83: 1 Unique Traces, 22 Redundant Traces, 1 Preserved, 21 Remained 
Collection_UnsynchronizedAddAll @ ElementMatcher.java:134: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 24 Remained 
Collection_UnsynchronizedAddAll @ ElementMatcher.java:202: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsynchronizedAddAll @ FieldRegistry.java:123: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsynchronizedAddAll @ MethodGraph.java:1020: 1 Unique Traces, 75 Redundant Traces, 1 Preserved, 15 Remained 
Collection_UnsynchronizedAddAll @ MultipleParentClassLoader.java:379: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsynchronizedAddAll @ NonLeafHelper.java:72: 1 Unique Traces, 74028 Redundant Traces, 1 Preserved, 3354 Remained 
Collection_UnsynchronizedAddAll @ NonLeafHelper.java:82: 1 Unique Traces, 5988 Redundant Traces, 1 Preserved, 319 Remained 
Collection_UnsynchronizedAddAll @ NonLeafHelper.java:93: 1 Unique Traces, 80016 Redundant Traces, 1 Preserved, 3416 Remained 
Collection_UnsynchronizedAddAll @ StackManipulation.java:218: 1 Unique Traces, 30 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsynchronizedAddAll @ Util.java:58: 1 Unique Traces, 165493 Redundant Traces, 1 Preserved, 8353 Remained 
Collection_UnsynchronizedAddAll @ Util.java:75: 1 Unique Traces, 985702 Redundant Traces, 1 Preserved, 9999 Remained 
Collection_UnsynchronizedAddAll @ Visualizer.java:90: 1 Unique Traces, 24777 Redundant Traces, 1 Preserved, 1247 Remained 
Collections_SortBeforeBinarySearch @ AllArguments.java:214: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ BoundedPriorityQueue.java:88: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ Buffer.java:58: 2 Unique Traces, 479998 Redundant Traces, 1 Preserved, 9999 Remained 
Collections_SortBeforeBinarySearch @ ByteCodeAppender.java:141: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ ByteCodeAppender.java:143: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ByteCodeElement.java:160: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ CollectionErasureMatcher.java:53: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CompoundList.java:47: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ CompoundList.java:66: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ CompoundList.java:82: 1 Unique Traces, 22 Redundant Traces, 1 Preserved, 22 Remained 
Collections_SortBeforeBinarySearch @ ConstructorStrategy.java:198: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ElementMatcher.java:134: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ ElementMatcher.java:136: 2 Unique Traces, 43 Redundant Traces, 2 Preserved, 43 Remained 
Collections_SortBeforeBinarySearch @ ElementMatcher.java:202: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ ElementMatcher.java:204: 2 Unique Traces, 9 Redundant Traces, 2 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ ElementMatchers.java:602: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ FieldRegistry.java:122: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ FieldRegistry.java:139: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ FilterableList.java:126: 6 Unique Traces, 62 Redundant Traces, 6 Preserved, 62 Remained 
Collections_SortBeforeBinarySearch @ Iterables.java:93: 4 Unique Traces, 4 Redundant Traces, 4 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ Iterators.java:31: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LeafHelper.java:30: 4 Unique Traces, 10016 Redundant Traces, 3 Preserved, 520 Remained 
