Collection_UnsafeIterator @ RegexComposer.java:49: 3 Unique Traces, 108 Redundant Traces, 2 Preserved, 19 Remained 
Collection_UnsafeIterator @ RegexComposer.java:57: 3 Unique Traces, 98 Redundant Traces, 3 Preserved, 29 Remained 
Collection_UnsafeIterator @ RegexComposer.java:95: 1 Unique Traces, 683 Redundant Traces, 1 Preserved, 31 Remained 
Collection_UnsafeIterator @ RegexComposer.java:106: 3 Unique Traces, 597 Redundant Traces, 3 Preserved, 50 Remained 
Collection_UnsafeIterator @ RegexDecomposer.java:35: 9 Unique Traces, 32 Redundant Traces, 5 Preserved, 2 Remained 
Collection_UnsafeIterator @ RegexDecomposer.java:43: 3 Unique Traces, 98 Redundant Traces, 2 Preserved, 13 Remained 
Collection_UnsafeIterator @ RegexDecomposer.java:48: 3 Unique Traces, 91 Redundant Traces, 3 Preserved, 11 Remained 
Collection_UnsafeIterator @ RegexDecomposer.java:62: 9 Unique Traces, 32 Redundant Traces, 7 Preserved, 17 Remained 
Collection_UnsafeIterator @ RegexDecomposer.java:79: 6 Unique Traces, 12496388 Redundant Traces, 2 Preserved, 19998 Remained 
Collection_UnsafeIterator @ RegexDecomposer.java:115: 9 Unique Traces, 174 Redundant Traces, 5 Preserved, 26 Remained 
Collection_UnsafeIterator @ RegexDecomposer.java:118: 10 Unique Traces, 978 Redundant Traces, 10 Preserved, 978 Remained 
Collection_UnsafeIterator @ RegexDecomposer.java:120: 8 Unique Traces, 1743 Redundant Traces, 1 Preserved, 89 Remained 
Collection_UnsafeIterator @ RegexTestUtils.java:21: 2 Unique Traces, 106 Redundant Traces, 1 Preserved, 12 Remained 
Collection_UnsafeIterator @ RegexTestUtils.java:34: 3 Unique Traces, 137 Redundant Traces, 3 Preserved, 30 Remained 
Collection_UnsafeIterator @ RegexTranslator.java:37: 3 Unique Traces, 108 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsafeIterator @ RegexTranslator.java:52: 3 Unique Traces, 98 Redundant Traces, 3 Preserved, 67 Remained 
Collection_UnsafeIterator @ RegexTranslator.java:85: 15 Unique Traces, 139 Redundant Traces, 5 Preserved, 13 Remained 
Collection_UnsafeIterator @ RegexTranslator.java:115: 2 Unique Traces, 17 Redundant Traces, 2 Preserved, 11 Remained 
Collection_UnsafeIterator @ SchemafulTupleSet.java:98: 2 Unique Traces, 6 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ SimpleTest.java:16: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ Tuple.java:37: 11 Unique Traces, 7446140 Redundant Traces, 2 Preserved, 79998 Remained 
Collection_UnsafeIterator @ Tuple.java:62: 5 Unique Traces, 10228 Redundant Traces, 1 Preserved, 548 Remained 
Collection_UnsafeIterator @ TupleSet.java:21: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Collection_UnsafeIterator @ TupleSet.java:22: 3 Unique Traces, 13 Redundant Traces, 3 Preserved, 13 Remained 
Collection_UnsafeIterator @ TupleUtils.java:22: 3 Unique Traces, 24871 Redundant Traces, 1 Preserved, 1256 Remained 
Collection_UnsafeIterator @ TupleUtils.java:50: 3 Unique Traces, 23 Redundant Traces, 3 Preserved, 23 Remained 
Collection_UnsafeIterator @ TupleUtils.java:51: 3 Unique Traces, 49 Redundant Traces, 2 Preserved, 4 Remained 
Collection_UnsafeIterator @ Utils.java:58: 3 Unique Traces, 7 Redundant Traces, 3 Preserved, 7 Remained 
Collection_UnsafeIterator @ Utils.java:148: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ Functions.java:76: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ JCUnit8.java:234: 1 Unique Traces, 119 Redundant Traces, 1 Preserved, 14 Remained 
Collection_UnsynchronizedAddAll @ JCUnit8Test.java:57: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ Joiner.java:208: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsynchronizedAddAll @ Joiner.java:209: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsynchronizedAddAll @ Joiner.java:213: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsynchronizedAddAll @ Joiner.java:214: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsynchronizedAddAll @ Joiner.java:238: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsynchronizedAddAll @ Joiner.java:296: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Collection_UnsynchronizedAddAll @ Joiner.java:325: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsynchronizedAddAll @ Joiner.java:326: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsynchronizedAddAll @ Joiner.java:357: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 6 Remained 
Collection_UnsynchronizedAddAll @ Matcher.java:49: 1 Unique Traces, 49 Redundant Traces, 1 Preserved, 21 Remained 
Collection_UnsynchronizedAddAll @ NodeUtils.java:38: 1 Unique Traces, 798 Redundant Traces, 1 Preserved, 38 Remained 
Collection_UnsynchronizedAddAll @ Parser.java:207: 1 Unique Traces, 326 Redundant Traces, 1 Preserved, 43 Remained 
Collection_UnsynchronizedAddAll @ ParserTest.java:142: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsynchronizedAddAll @ Partitioner.java:41: 1 Unique Traces, 67 Redundant Traces, 1 Preserved, 28 Remained 
