Appendable_ThreadSafe @ OSQLPredicate.java:82: 27 Unique Traces, 1825 Redundant Traces, 27 Preserved, 1825 Remained 
Appendable_ThreadSafe @ OSQLPredicate.java:324: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 36 Remained 
Appendable_ThreadSafe @ OSQLTarget.java:90: 1 Unique Traces, 5643 Redundant Traces, 1 Preserved, 305 Remained 
Appendable_ThreadSafe @ OSQLTarget.java:94: 26 Unique Traces, 90 Redundant Traces, 9 Preserved, 8 Remained 
Appendable_ThreadSafe @ OSchemaShared.java:717: 1 Unique Traces, 78 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ OSchemaShared.java:956: 1 Unique Traces, 94 Redundant Traces, 1 Preserved, 16 Remained 
Appendable_ThreadSafe @ OSchemaShared.java:961: 1 Unique Traces, 106 Redundant Traces, 1 Preserved, 43 Remained 
Appendable_ThreadSafe @ OSchemaShared.java:988: 5 Unique Traces, 36 Redundant Traces, 5 Preserved, 7 Remained 
Appendable_ThreadSafe @ OSecurityManager.java:115: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 21 Remained 
Appendable_ThreadSafe @ OSecurityManager.java:117: 1 Unique Traces, 46 Redundant Traces, 1 Preserved, 45 Remained 
Appendable_ThreadSafe @ OSelectStatement.java:188: 4 Unique Traces, 109 Redundant Traces, 1 Preserved, 14 Remained 
Appendable_ThreadSafe @ OStorageConfiguration.java:566: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ OStorageConfiguration.java:677: 14 Unique Traces, 728 Redundant Traces, 14 Preserved, 728 Remained 
Appendable_ThreadSafe @ OStringSerializerHelper.java:461: 16 Unique Traces, 441 Redundant Traces, 3 Preserved, 33 Remained 
Appendable_ThreadSafe @ OStringSerializerHelper.java:514: 1 Unique Traces, 22 Redundant Traces, 1 Preserved, 14 Remained 
Appendable_ThreadSafe @ OStringSerializerHelper.java:517: 4 Unique Traces, 22 Redundant Traces, 4 Preserved, 5 Remained 
Appendable_ThreadSafe @ OStringSerializerHelper.java:618: 9 Unique Traces, 49 Redundant Traces, 9 Preserved, 11 Remained 
Appendable_ThreadSafe @ OStringSerializerHelper.java:795: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ OUpdateItem.java:39: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ OUpdateOperations.java:49: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ OUpdateStatement.java:42: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ OrientDbCreationHelper.java:105: 1 Unique Traces, 77 Redundant Traces, 1 Preserved, 28 Remained 
Appendable_ThreadSafe @ OrientJdbcBaseTest.java:54: 1 Unique Traces, 40 Redundant Traces, 1 Preserved, 40 Remained 
Appendable_ThreadSafe @ OrientJdbcBlobTest.java:47: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ OrientJdbcBlobTest.java:71: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ OrientJdbcBlobTest.java:98: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
ArrayDeque_UnsafeIterator @ ORecordSerializationContext.java:89: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 570 Remained 
ArrayDeque_UnsafeIterator @ OWALChangesTree.java:253: 49 Unique Traces, 49951 Redundant Traces, 4 Preserved, 2497 Remained 
ArrayDeque_UnsafeIterator @ OWALChangesTree.java:374: 468 Unique Traces, 99532 Redundant Traces, 57 Preserved, 5011 Remained 
Arrays_SortBeforeBinarySearch @ OCommonConst.java:39: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ OSBTreeCollectionManagerAbstract.java:73: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 5 Remained 
Arrays_SortBeforeBinarySearch @ OSQLFunctionRuntime.java:156: 1 Unique Traces, 111 Redundant Traces, 1 Preserved, 25 Remained 
Arrays_SortBeforeBinarySearch @ OSQLFunctionRuntime.java:177: 1 Unique Traces, 84 Redundant Traces, 1 Preserved, 5 Remained 
Arrays_SortBeforeBinarySearch @ OSQLFunctionRuntime.java:212: 1 Unique Traces, 87 Redundant Traces, 1 Preserved, 22 Remained 
Arrays_SortBeforeBinarySearch @ OScriptManager.java:62: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
CharSequence_NotInMap @ OClassImpl.java:914: 1 Unique Traces, 87 Redundant Traces, 1 Preserved, 38 Remained 
CharSequence_NotInMap @ OClassImpl.java:2407: 1 Unique Traces, 61 Redundant Traces, 1 Preserved, 58 Remained 
CharSequence_NotInMap @ OImmutableClass.java:103: 1 Unique Traces, 316 Redundant Traces, 1 Preserved, 38 Remained 
CharSequence_NotInMap @ OSchemaShared.java:746: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 7 Remained 
CharSequence_NotInMap @ OTrackedMap.java:57: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 9 Remained 
Collection_UnsafeIterator @ IsCollectionContaining.java:24: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ OAbstractPaginatedStorage.java:1448: 1 Unique Traces, 98 Redundant Traces, 1 Preserved, 8 Remained 
Collection_UnsafeIterator @ OAbstractPaginatedStorage.java:1455: 1 Unique Traces, 143 Redundant Traces, 1 Preserved, 53 Remained 
Collection_UnsafeIterator @ OAbstractProfiler.java:72: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 14 Remained 
Collection_UnsafeIterator @ OAndBlock.java:39: 3 Unique Traces, 96 Redundant Traces, 2 Preserved, 10 Remained 
Collection_UnsafeIterator @ OAndBlock.java:62: 2 Unique Traces, 56 Redundant Traces, 2 Preserved, 18 Remained 
Collection_UnsafeIterator @ OAndBlock.java:84: 3 Unique Traces, 111 Redundant Traces, 1 Preserved, 8 Remained 
Collection_UnsafeIterator @ OAtomicOperation.java:330: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 505 Remained 
Collection_UnsafeIterator @ OAtomicOperation.java:334: 3 Unique Traces, 11927 Redundant Traces, 1 Preserved, 593 Remained 
Collection_UnsafeIterator @ OAtomicOperation.java:343: 4 Unique Traces, 23931 Redundant Traces, 3 Preserved, 1126 Remained 
Collection_UnsafeIterator @ OAtomicOperation.java:353: 2 Unique Traces, 19998 Redundant Traces, 2 Preserved, 1055 Remained 
