Collection_UnsafeIterator @ POJOPropertiesCollector.java:739: 4 Unique Traces, 30 Redundant Traces, 3 Preserved, 3 Remained 
Collection_UnsafeIterator @ POJOPropertiesCollector.java:775: 4 Unique Traces, 30 Redundant Traces, 4 Preserved, 18 Remained 
Collection_UnsafeIterator @ POJOPropertiesCollector.java:966: 3 Unique Traces, 16 Redundant Traces, 3 Preserved, 4 Remained 
Collection_UnsafeIterator @ POJOPropertiesCollector.java:1007: 1 Unique Traces, 18 Redundant Traces, 1 Preserved, 18 Remained 
Collection_UnsafeIterator @ ReadOnlyClassToSerializerMap.java:32: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Collection_UnsafeIterator @ SimpleDataFlowExecutor.java:102: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SimpleDataFlowExecutor.java:115: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ StatusUtil.java:59: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ StatusUtil.java:95: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ StringCollectionSerializer.java:103: 7 Unique Traces, 36 Redundant Traces, 4 Preserved, 15 Remained 
Collection_UnsafeIterator @ TypeNameIdResolver.java:64: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsynchronizedAddAll @ BasicStatusManager.java:79: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ ExecutionGraphGenerator.java:224: 7 Unique Traces, 515 Redundant Traces, 2 Preserved, 52 Remained 
Collection_UnsynchronizedAddAll @ MultiThreadedDataFlowExecutor.java:125: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collection_UnsynchronizedAddAll @ SimpleDataFlowExecutor.java:161: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Collection_UnsynchronizedAddAll @ SubstituteLoggerFactory.java:59: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AnnotatedCreatorCollector.java:112: 2 Unique Traces, 17 Redundant Traces, 2 Preserved, 12 Remained 
Collections_SortBeforeBinarySearch @ AnnotatedCreatorCollector.java:129: 2 Unique Traces, 17 Redundant Traces, 2 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ AnnotatedCreatorCollector.java:191: 2 Unique Traces, 17 Redundant Traces, 2 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ AnnotatedCreatorCollector.java:200: 2 Unique Traces, 17 Redundant Traces, 2 Preserved, 12 Remained 
Collections_SortBeforeBinarySearch @ AnnotatedFieldCollector.java:47: 6 Unique Traces, 28 Redundant Traces, 6 Preserved, 28 Remained 
Collections_SortBeforeBinarySearch @ AppenderAttachableImpl.java:40: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BasicStatusManager.java:68: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BasicStatusManager.java:79: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BeanSerializerFactory.java:604: 3 Unique Traces, 11 Redundant Traces, 3 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ COWArrayList.java:119: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ClassUtil.java:131: 5 Unique Traces, 44 Redundant Traces, 4 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ DataBuilderMetadataManager.java:101: 2 Unique Traces, 382 Redundant Traces, 1 Preserved, 21 Remained 
Collections_SortBeforeBinarySearch @ DataFlowExecutor.java:183: 2 Unique Traces, 13 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ ExecutionGraph.java:39: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ ExecutionGraph.java:41: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ExecutionGraphGenerator.java:109: 7 Unique Traces, 88 Redundant Traces, 3 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ ExecutionGraphGenerator.java:111: 5 Unique Traces, 260 Redundant Traces, 3 Preserved, 68 Remained 
Collections_SortBeforeBinarySearch @ ExecutionGraphGenerator.java:116: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ ExecutionGraphGenerator.java:173: 8 Unique Traces, 336 Redundant Traces, 3 Preserved, 38 Remained 
Collections_SortBeforeBinarySearch @ Logger.java:359: 5 Unique Traces, 9 Redundant Traces, 5 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ StatusUtil.java:61: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SubstituteLoggerFactory.java:59: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Console_CloseWriter @ WriterBasedJsonGenerator.java:974: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_HasNext @ AnnotatedClassResolver.java:157: 6 Unique Traces, 69 Redundant Traces, 6 Preserved, 11 Remained 
Iterator_HasNext @ AnnotatedFieldCollector.java:46: 6 Unique Traces, 28 Redundant Traces, 5 Preserved, 28 Remained 
Iterator_HasNext @ AnnotatedMethodCollector.java:45: 5 Unique Traces, 29 Redundant Traces, 5 Preserved, 29 Remained 
Iterator_HasNext @ AnnotatedMethodCollector.java:90: 7 Unique Traces, 27 Redundant Traces, 6 Preserved, 27 Remained 
Iterator_HasNext @ AnnotationCollector.java:153: 2 Unique Traces, 44 Redundant Traces, 2 Preserved, 44 Remained 
Iterator_HasNext @ BasicSerializerFactory.java:93: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ BasicSerializerFactory.java:645: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
Iterator_HasNext @ BasicSerializerFactory.java:761: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Iterator_HasNext @ BasicStatusManager.java:86: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ BeanSerializerFactory.java:206: 1 Unique Traces, 36 Redundant Traces, 1 Preserved, 13 Remained 
Iterator_HasNext @ BeanSerializerFactory.java:589: 3 Unique Traces, 11 Redundant Traces, 3 Preserved, 11 Remained 
Iterator_HasNext @ BeanSerializerFactory.java:696: 4 Unique Traces, 25 Redundant Traces, 3 Preserved, 25 Remained 
Iterator_HasNext @ ClassUtil.java:133: 5 Unique Traces, 90 Redundant Traces, 5 Preserved, 21 Remained 
Iterator_HasNext @ DataBuilderMetadataManager.java:102: 6 Unique Traces, 390 Redundant Traces, 5 Preserved, 50 Remained 
Iterator_HasNext @ DataBuilderMetadataManager.java:110: 6 Unique Traces, 23 Redundant Traces, 5 Preserved, 23 Remained 
Iterator_HasNext @ DataBuilderMetadataManager.java:119: 4 Unique Traces, 62 Redundant Traces, 4 Preserved, 34 Remained 
Iterator_HasNext @ EnvUtil.java:50: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ExecutionGraph.java:36: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Iterator_HasNext @ ExecutionGraph.java:38: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 4 Remained 
Iterator_HasNext @ ExecutionGraphGenerator.java:96: 13 Unique Traces, 88 Redundant Traces, 12 Preserved, 24 Remained 
Iterator_HasNext @ ExecutionGraphGenerator.java:136: 9 Unique Traces, 747 Redundant Traces, 3 Preserved, 54 Remained 
Iterator_HasNext @ ExecutionGraphGenerator.java:165: 11 Unique Traces, 333 Redundant Traces, 2 Preserved, 24 Remained 
Iterator_HasNext @ FlowTest.java:114: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Iterator_HasNext @ LoggerContext.java:317: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ LoopTest.java:89: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Iterator_HasNext @ MapSerializer.java:900: 4 Unique Traces, 2 Redundant Traces, 4 Preserved, 2 Remained 
Iterator_HasNext @ MultiThreadedDataFlowExecutor.java:251: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ POJOPropertiesCollector.java:329: 4 Unique Traces, 30 Redundant Traces, 3 Preserved, 1 Remained 
Iterator_HasNext @ POJOPropertiesCollector.java:343: 4 Unique Traces, 30 Redundant Traces, 3 Preserved, 21 Remained 
Iterator_HasNext @ POJOPropertiesCollector.java:379: 6 Unique Traces, 28 Redundant Traces, 6 Preserved, 28 Remained 
Iterator_HasNext @ POJOPropertiesCollector.java:460: 2 Unique Traces, 17 Redundant Traces, 2 Preserved, 8 Remained 
Iterator_HasNext @ POJOPropertiesCollector.java:468: 2 Unique Traces, 17 Redundant Traces, 2 Preserved, 2 Remained 
Iterator_HasNext @ POJOPropertiesCollector.java:525: 7 Unique Traces, 27 Redundant Traces, 7 Preserved, 27 Remained 
Iterator_HasNext @ POJOPropertiesCollector.java:656: 6 Unique Traces, 28 Redundant Traces, 5 Preserved, 28 Remained 
Iterator_HasNext @ POJOPropertiesCollector.java:660: 7 Unique Traces, 27 Redundant Traces, 7 Preserved, 27 Remained 
Iterator_HasNext @ POJOPropertiesCollector.java:706: 5 Unique Traces, 29 Redundant Traces, 5 Preserved, 29 Remained 
Iterator_HasNext @ POJOPropertiesCollector.java:741: 4 Unique Traces, 30 Redundant Traces, 4 Preserved, 7 Remained 
Iterator_HasNext @ POJOPropertiesCollector.java:777: 4 Unique Traces, 30 Redundant Traces, 4 Preserved, 21 Remained 
