Collection_UnsafeIterator @ AcornPulseExtractor.java:130: 1 Unique Traces, 455823 Redundant Traces, 1 Preserved, 9999 Remained 
Collection_UnsafeIterator @ AudioInput.java:71: 1 Unique Traces, 21259534 Redundant Traces, 1 Preserved, 9999 Remained 
Collection_UnsafeIterator @ BBCFileExtractor.java:57: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 9 Remained 
Collection_UnsafeIterator @ Commodore64Vic20PulseExtractor.java:169: 1 Unique Traces, 593073 Redundant Traces, 1 Preserved, 9999 Remained 
Collection_UnsafeIterator @ CommodoreFileExtractor.java:78: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 9 Remained 
Collection_UnsafeIterator @ Directory.java:94: 3 Unique Traces, 3 Redundant Traces, 3 Preserved, 3 Remained 
Collection_UnsafeIterator @ EmulatorTAPFile.java:48: 4 Unique Traces, 3 Redundant Traces, 3 Preserved, 3 Remained 
Collection_UnsafeIterator @ FileBuilder.java:85: 6 Unique Traces, 8 Redundant Traces, 6 Preserved, 8 Remained 
Collection_UnsafeIterator @ HighPass.java:111: 1 Unique Traces, 9671684 Redundant Traces, 1 Preserved, 10000 Remained 
Collection_UnsafeIterator @ LowPass.java:103: 1 Unique Traces, 12946873 Redundant Traces, 1 Preserved, 9999 Remained 
Collection_UnsafeIterator @ SpectrumFileStateMachine.java:485: 26900 Unique Traces, 28285 Redundant Traces, 1375 Preserved, 1399 Remained 
Collection_UnsafeIterator @ SpectrumFileStateMachine.java:486: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsafeIterator @ SpectrumFileStateMachine.java:517: 1 Unique Traces, 55194 Redundant Traces, 1 Preserved, 2757 Remained 
Collection_UnsafeIterator @ SpectrumPulseExtractor.java:191: 1 Unique Traces, 55184 Redundant Traces, 1 Preserved, 2702 Remained 
Collection_UnsafeIterator @ ZeroCrossingIntervalExtractor.java:106: 1 Unique Traces, 2212802 Redundant Traces, 1 Preserved, 10000 Remained 
Collections_SortBeforeBinarySearch @ AcornPulseExtractor.java:110: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ AudioInput.java:78: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ BBCBasicVariableData.java:128: 1 Unique Traces, 100 Redundant Traces, 1 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ BBCFileExtractor.java:48: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ BBCFileTest.java:147: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ BBCTapeFile.java:124: 5 Unique Traces, 2 Redundant Traces, 5 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ Commodore64Vic20PulseExtractor.java:151: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ CommodoreBlockRecognisingStateMachine.java:183: 2 Unique Traces, 7 Redundant Traces, 2 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ CommodoreFileBuilder.java:122: 2 Unique Traces, 7 Redundant Traces, 2 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ CommodoreFileExtractor.java:66: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ CommodoreFileTest.java:165: 2 Unique Traces, 7 Redundant Traces, 2 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ CommodoreTapeFile.java:51: 3 Unique Traces, 8 Redundant Traces, 3 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ CommodoreTapeFile.java:275: 1 Unique Traces, 849 Redundant Traces, 1 Preserved, 73 Remained 
Collections_SortBeforeBinarySearch @ Directory.java:38: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ Directory.java:85: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DirectoryTest.java:270: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DirectoryTest.java:271: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ EmulatorTAPFile.java:32: 4 Unique Traces, 3 Redundant Traces, 4 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ FileBuilder.java:107: 5 Unique Traces, 2 Redundant Traces, 4 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ HighPass.java:118: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ LowPass.java:110: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ SpectrumFileStateMachine.java:476: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ SpectrumFileStateMachine.java:490: 7 Unique Traces, 0 Redundant Traces, 7 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SpectrumFileTest.java:153: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ SpectrumPulseExtractor.java:167: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ ZeroCrossingIntervalExtractor.java:113: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ AcornPulseExtractor.java:130: 1 Unique Traces, 455823 Redundant Traces, 1 Preserved, 9999 Remained 
Iterator_HasNext @ AudioInput.java:71: 1 Unique Traces, 21259534 Redundant Traces, 1 Preserved, 9999 Remained 
Iterator_HasNext @ BBCFileExtractor.java:57: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 10 Remained 
Iterator_HasNext @ Commodore64Vic20PulseExtractor.java:169: 1 Unique Traces, 593073 Redundant Traces, 1 Preserved, 9999 Remained 
Iterator_HasNext @ CommodoreFileExtractor.java:78: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 5 Remained 
Iterator_HasNext @ CommodoreTapeFile.java:282: 1 Unique Traces, 849 Redundant Traces, 1 Preserved, 54 Remained 
Iterator_HasNext @ Directory.java:94: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 4 Remained 
Iterator_HasNext @ EmulatorTAPFile.java:48: 4 Unique Traces, 3 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_HasNext @ FileBuilder.java:85: 6 Unique Traces, 8 Redundant Traces, 6 Preserved, 8 Remained 
Iterator_HasNext @ HighPass.java:111: 1 Unique Traces, 9671684 Redundant Traces, 1 Preserved, 9999 Remained 
Iterator_HasNext @ LowPass.java:103: 1 Unique Traces, 12946873 Redundant Traces, 1 Preserved, 9999 Remained 
Iterator_HasNext @ SpectrumFileStateMachine.java:485: 2 Unique Traces, 55183 Redundant Traces, 1 Preserved, 2776 Remained 
Iterator_HasNext @ SpectrumFileStateMachine.java:486: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ SpectrumFileStateMachine.java:517: 1 Unique Traces, 55194 Redundant Traces, 1 Preserved, 2852 Remained 
Iterator_HasNext @ SpectrumPulseExtractor.java:191: 1 Unique Traces, 55184 Redundant Traces, 1 Preserved, 2698 Remained 
Iterator_HasNext @ ZeroCrossingIntervalExtractor.java:106: 1 Unique Traces, 2212802 Redundant Traces, 1 Preserved, 9999 Remained 
Iterator_RemoveOnce @ AcornPulseExtractor.java:130: 1 Unique Traces, 455823 Redundant Traces, 1 Preserved, 10000 Remained 
Iterator_RemoveOnce @ AudioInput.java:71: 1 Unique Traces, 21259534 Redundant Traces, 1 Preserved, 9999 Remained 
Iterator_RemoveOnce @ BBCFileExtractor.java:57: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 16 Remained 
Iterator_RemoveOnce @ Commodore64Vic20PulseExtractor.java:169: 1 Unique Traces, 593073 Redundant Traces, 1 Preserved, 10000 Remained 
Iterator_RemoveOnce @ CommodoreFileExtractor.java:78: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Iterator_RemoveOnce @ CommodoreTapeFile.java:282: 1 Unique Traces, 849 Redundant Traces, 1 Preserved, 44 Remained 
Iterator_RemoveOnce @ Directory.java:94: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ EmulatorTAPFile.java:48: 4 Unique Traces, 3 Redundant Traces, 4 Preserved, 3 Remained 
Iterator_RemoveOnce @ FileBuilder.java:85: 5 Unique Traces, 2 Redundant Traces, 4 Preserved, 2 Remained 
Iterator_RemoveOnce @ HighPass.java:111: 1 Unique Traces, 9671684 Redundant Traces, 1 Preserved, 9999 Remained 
Iterator_RemoveOnce @ LowPass.java:103: 1 Unique Traces, 12946873 Redundant Traces, 1 Preserved, 9999 Remained 
Iterator_RemoveOnce @ SpectrumFileStateMachine.java:485: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
