Appendable_ThreadSafe @ ControlDependenceGraph.java:164: 1 Unique Traces, 502 Redundant Traces, 1 Preserved, 33 Remained 
Appendable_ThreadSafe @ ControlDependenceGraph.java:165: 1 Unique Traces, 502 Redundant Traces, 1 Preserved, 43 Remained 
Appendable_ThreadSafe @ ControlDependenceGraph.java:176: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:35: 1 Unique Traces, 53 Redundant Traces, 1 Preserved, 22 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:62: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:64: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:69: 1 Unique Traces, 468 Redundant Traces, 1 Preserved, 34 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:73: 1 Unique Traces, 399 Redundant Traces, 1 Preserved, 31 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:74: 1 Unique Traces, 68 Redundant Traces, 1 Preserved, 14 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:75: 1 Unique Traces, 468 Redundant Traces, 1 Preserved, 27 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:82: 1 Unique Traces, 358 Redundant Traces, 1 Preserved, 66 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:84: 1 Unique Traces, 133 Redundant Traces, 1 Preserved, 23 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:90: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:100: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:110: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:113: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:114: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:120: 1 Unique Traces, 468 Redundant Traces, 1 Preserved, 32 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:121: 1 Unique Traces, 468 Redundant Traces, 1 Preserved, 35 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:122: 1 Unique Traces, 468 Redundant Traces, 1 Preserved, 62 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:132: 1 Unique Traces, 492 Redundant Traces, 1 Preserved, 46 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:133: 1 Unique Traces, 492 Redundant Traces, 1 Preserved, 30 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:134: 1 Unique Traces, 492 Redundant Traces, 1 Preserved, 33 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:135: 1 Unique Traces, 492 Redundant Traces, 1 Preserved, 29 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:143: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:153: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:162: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:165: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:166: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
