StringBuilder_ThreadSafe @ ComplexTest.java:100: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ComplexTest.java:105: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ComplexTest.java:110: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ComplexTest.java:115: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ComplexTest.java:120: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ComplexTest.java:132: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ComplexTest.java:139: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ComplexTest.java:144: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ComplexTest.java:149: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ComplexTest.java:154: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ComplexTest.java:165: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ComplexTest.java:172: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ComplexTest.java:178: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ FunctionX.java:77: 1 Unique Traces, 68000156 Redundant Traces, 1 Preserved, 9999 Remained 
StringBuilder_ThreadSafe @ FunctionX.java:195: 1 Unique Traces, 16000021 Redundant Traces, 1 Preserved, 9999 Remained 
StringBuilder_ThreadSafe @ FunctionX.java:277: 1 Unique Traces, 33 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ FunctionX.java:318: 1 Unique Traces, 44000071 Redundant Traces, 1 Preserved, 9999 Remained 
StringBuilder_ThreadSafe @ FunctionX.java:322: 1 Unique Traces, 16000021 Redundant Traces, 1 Preserved, 10000 Remained 
StringBuilder_ThreadSafe @ FunctionX.java:325: 1 Unique Traces, 4000015 Redundant Traces, 1 Preserved, 10000 Remained 
StringBuilder_ThreadSafe @ FunctionX.java:351: 1 Unique Traces, 8000013 Redundant Traces, 1 Preserved, 10000 Remained 
StringBuilder_ThreadSafe @ FunctionX.java:355: 1 Unique Traces, 4000004 Redundant Traces, 1 Preserved, 9999 Remained 
StringBuilder_ThreadSafe @ FunctionX.java:358: 1 Unique Traces, 4000006 Redundant Traces, 1 Preserved, 9999 Remained 
StringBuilder_ThreadSafe @ FunctionXs.java:89: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
StringBuilder_ThreadSafe @ FunctionXs.java:291: 1 Unique Traces, 39 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ FunctionXs.java:338: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ FunctionXs.java:345: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
StringBuilder_ThreadSafe @ FunctionXs.java:372: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ FunctionXs.java:379: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ RealTest.java:43: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SpeedTest.java:14: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SpeedTest.java:29: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SpeedTest.java:39: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
