Iterator_RemoveOnce @ AhoCorasickDoubleArrayTrie.java:945: 303 Unique Traces, 497811 Redundant Traces, 16 Preserved, 24700 Remained 
Iterator_RemoveOnce @ AhoCorasickDoubleArrayTrie.java:950: 303 Unique Traces, 497811 Redundant Traces, 15 Preserved, 19985 Remained 
Iterator_RemoveOnce @ FinalSeg.java:185: 3 Unique Traces, 70007 Redundant Traces, 2 Preserved, 3599 Remained 
Iterator_RemoveOnce @ FinalSeg.java:188: 8 Unique Traces, 53999 Redundant Traces, 2 Preserved, 2753 Remained 
Iterator_RemoveOnce @ Jaba.java:55: 10 Unique Traces, 82994 Redundant Traces, 5 Preserved, 4141 Remained 
Iterator_RemoveOnce @ Jaba.java:67: 3 Unique Traces, 47010 Redundant Traces, 2 Preserved, 2363 Remained 
Iterator_RemoveOnce @ JabaCutTest.java:138: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SentenceDAG.java:34: 4 Unique Traces, 1112167 Redundant Traces, 3 Preserved, 39997 Remained 
Iterator_RemoveOnce @ State.java:120: 1 Unique Traces, 698089 Redundant Traces, 1 Preserved, 9999 Remained 
Iterator_RemoveOnce @ State.java:130: 6 Unique Traces, 485791 Redundant Traces, 2 Preserved, 24391 Remained 
Iterator_RemoveOnce @ TFIDFAnalyzer.java:43: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_RemoveOnce @ TFIDFAnalyzer.java:73: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
List_UnsynchronizedSubList @ TFIDFAnalyzer.java:48: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ AhoCorasickDoubleArrayTrie.java:714: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ AhoCorasickDoubleArrayTrie.java:716: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ AhoCorasickDoubleArrayTrie.java:849: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ AhoCorasickDoubleArrayTrie.java:952: 1 Unique Traces, 847157 Redundant Traces, 1 Preserved, 9999 Remained 
Map_CollectionViewAdd @ State.java:229: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ State.java:234: 1 Unique Traces, 498112 Redundant Traces, 1 Preserved, 10000 Remained 
Map_CollectionViewAdd @ TFIDFAnalyzer.java:43: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Map_CollectionViewAdd @ TFIDFAnalyzer.java:71: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Map_CollectionViewAdd @ TFIDFAnalyzer.java:73: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Map_UnsafeIterator @ AhoCorasickDoubleArrayTrie.java:743: 302 Unique Traces, 846857 Redundant Traces, 17 Preserved, 42464 Remained 
Map_UnsafeIterator @ AhoCorasickDoubleArrayTrie.java:775: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ AhoCorasickDoubleArrayTrie.java:792: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ AhoCorasickDoubleArrayTrie.java:804: 301 Unique Traces, 497812 Redundant Traces, 26 Preserved, 25024 Remained 
Map_UnsafeIterator @ TFIDFAnalyzer.java:43: 3 Unique Traces, 1 Redundant Traces, 2 Preserved, 0 Remained 
Map_UnsafeIterator @ TFIDFAnalyzer.java:73: 3 Unique Traces, 1 Redundant Traces, 2 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ Pair.java:49: 1 Unique Traces, 25 Redundant Traces, 1 Preserved, 21 Remained 
