Collections_SortBeforeBinarySearch @ DefaultTermPath.java:142: 4 Unique Traces, 2818 Redundant Traces, 2 Preserved, 150 Remained 
Collections_SortBeforeBinarySearch @ DirectedEdgeContainer.java:87: 12 Unique Traces, 721446 Redundant Traces, 3 Preserved, 35978 Remained 
Collections_SortBeforeBinarySearch @ DirectedEdgeContainer.java:97: 12 Unique Traces, 720992 Redundant Traces, 1 Preserved, 35934 Remained 
Collections_SortBeforeBinarySearch @ DirectedSpecifics.java:181: 1 Unique Traces, 1288479 Redundant Traces, 1 Preserved, 10000 Remained 
Collections_SortBeforeBinarySearch @ FastLookupDirectedSpecifics.java:132: 1 Unique Traces, 1152807 Redundant Traces, 1 Preserved, 10000 Remained 
Collections_SortBeforeBinarySearch @ HMMTokenizer.java:86: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 12 Remained 
Collections_SortBeforeBinarySearch @ HMMTokenizer.java:126: 16 Unique Traces, 250 Redundant Traces, 10 Preserved, 26 Remained 
Collections_SortBeforeBinarySearch @ HMMTokenizer.java:130: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ HMMTokenizer.java:145: 7 Unique Traces, 1115 Redundant Traces, 3 Preserved, 59 Remained 
Collections_SortBeforeBinarySearch @ HMMTokenizer.java:167: 1 Unique Traces, 1121 Redundant Traces, 1 Preserved, 77 Remained 
Collections_SortBeforeBinarySearch @ IOUtils.java:1461: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ KShortestPaths.java:168: 7 Unique Traces, 1115 Redundant Traces, 3 Preserved, 69 Remained 
Collections_SortBeforeBinarySearch @ KShortestPathsIterator.java:256: 7 Unique Traces, 48037 Redundant Traces, 1 Preserved, 2490 Remained 
Collections_SortBeforeBinarySearch @ KShortestPathsIterator.java:301: 12 Unique Traces, 14994 Redundant Traces, 4 Preserved, 816 Remained 
Collections_SortBeforeBinarySearch @ Logger.java:359: 5 Unique Traces, 8 Redundant Traces, 2 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ NumberRecognitor.java:51: 211 Unique Traces, 6781 Redundant Traces, 22 Preserved, 394 Remained 
Collections_SortBeforeBinarySearch @ NumberRecognitor.java:55: 15 Unique Traces, 1397 Redundant Traces, 8 Preserved, 106 Remained 
Collections_SortBeforeBinarySearch @ NumberRecognitor.java:113: 2 Unique Traces, 190 Redundant Traces, 1 Preserved, 21 Remained 
Collections_SortBeforeBinarySearch @ NumberRecognitor.java:172: 1 Unique Traces, 1367 Redundant Traces, 1 Preserved, 65 Remained 
Collections_SortBeforeBinarySearch @ RankingPathElementList.java:137: 135 Unique Traces, 19575 Redundant Traces, 10 Preserved, 1024 Remained 
Collections_SortBeforeBinarySearch @ SimpleDetector.java:69: 49 Unique Traces, 125 Redundant Traces, 49 Preserved, 125 Remained 
Collections_SortBeforeBinarySearch @ SimpleDetector.java:74: 3 Unique Traces, 5 Redundant Traces, 2 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ SimpleDetector.java:79: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ SimpleDetector.java:93: 21 Unique Traces, 23 Redundant Traces, 21 Preserved, 23 Remained 
Collections_SortBeforeBinarySearch @ SimpleDetector.java:108: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 14 Remained 
Collections_SortBeforeBinarySearch @ StatusUtil.java:61: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ TFIDFKeywordExtractor.java:91: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ TFIDFKeywordExtractor.java:101: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ TextRankSummarization.java:86: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ TextRankSummarization.java:199: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ TreeSingleSourcePathsImpl.java:143: 35 Unique Traces, 48909 Redundant Traces, 5 Preserved, 2430 Remained 
Console_CloseReader @ CharDFAFileCorpus.java:72: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 11 Remained 
Console_CloseReader @ CompanyNameLengthFileCorpus.java:71: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Console_CloseReader @ CooccurrenceFileCorpus.java:50: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 13 Remained 
Console_CloseReader @ NatureCooccurrenceFileCorpus.java:68: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Console_CloseReader @ NatureFreqFileCorpus.java:73: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Console_CloseReader @ T2SFileCorpus.java:61: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 17 Remained 
InputStream_ManipulateAfterClose @ CharDFAFileCorpus.java:54: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
InputStream_ManipulateAfterClose @ CharsetFileCorpus.java:32: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
InputStream_ManipulateAfterClose @ CompanyNameLengthFileCorpus.java:31: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 5 Remained 
InputStream_ManipulateAfterClose @ CooccurrenceFileCorpus.java:32: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
InputStream_ManipulateAfterClose @ NatureCooccurrenceFileCorpus.java:31: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 5 Remained 
InputStream_ManipulateAfterClose @ NatureFreqFileCorpus.java:36: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
InputStream_ManipulateAfterClose @ T2SFileCorpus.java:38: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 13 Remained 
InputStream_ManipulateAfterClose @ TestKeywords.java:45: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
InputStream_ManipulateAfterClose @ TestSentence.java:35: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
InputStream_ManipulateAfterClose @ TestSummarization.java:40: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
InputStream_MarkAfterClose @ CharDFAFileCorpus.java:54: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
InputStream_MarkAfterClose @ CharsetFileCorpus.java:32: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
InputStream_MarkAfterClose @ CompanyNameLengthFileCorpus.java:31: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
InputStream_MarkAfterClose @ CooccurrenceFileCorpus.java:32: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 7 Remained 
InputStream_MarkAfterClose @ NatureCooccurrenceFileCorpus.java:31: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 17 Remained 
InputStream_MarkAfterClose @ NatureFreqFileCorpus.java:36: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 1 Remained 
InputStream_MarkAfterClose @ T2SFileCorpus.java:38: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 18 Remained 
InputStream_MarkAfterClose @ TestKeywords.java:45: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
InputStream_MarkAfterClose @ TestSentence.java:35: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
InputStream_MarkAfterClose @ TestSummarization.java:40: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ AbstractNPathGenerator.java:54: 7 Unique Traces, 1115 Redundant Traces, 4 Preserved, 82 Remained 
