Iterator_RemoveOnce @ PredictionMode.java:278: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ PredictionMode.java:470: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ PredictionMode.java:548: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
ListIterator_RemoveOnce @ FlexibleHashMap.java:87: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
ListIterator_RemoveOnce @ FlexibleHashMap.java:104: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
ListIterator_RemoveOnce @ FlexibleHashMap.java:138: 2 Unique Traces, 5 Redundant Traces, 2 Preserved, 5 Remained 
ListIterator_RemoveOnce @ GeneratorVisitor.java:220: 49 Unique Traces, 290001 Redundant Traces, 6 Preserved, 14562 Remained 
ListIterator_RemoveOnce @ GeneratorVisitor.java:221: 95 Unique Traces, 839414 Redundant Traces, 6 Preserved, 41966 Remained 
ListIterator_RemoveOnce @ IntervalSet.java:117: 8 Unique Traces, 24 Redundant Traces, 8 Preserved, 24 Remained 
ListIterator_Set @ IntervalSet.java:116: 10 Unique Traces, 67 Redundant Traces, 10 Preserved, 67 Remained 
ListIterator_hasNextPrevious @ IntervalSet.java:116: 10 Unique Traces, 67 Redundant Traces, 10 Preserved, 67 Remained 
List_UnsafeListIterator @ IntervalSet.java:116: 17 Unique Traces, 60 Redundant Traces, 17 Preserved, 60 Remained 
List_UnsynchronizedSubList @ GeneratorVisitor.java:179: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ PredictionMode.java:556: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ PredictionMode.java:470: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Reader_ManipulateAfterClose @ ANTLRInputStream.java:111: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ GeneratorVisitor.java:217: 1 Unique Traces, 88692 Redundant Traces, 1 Preserved, 4448 Remained 
StringBuilder_ThreadSafe @ GeneratorVisitor.java:224: 1 Unique Traces, 2164415 Redundant Traces, 1 Preserved, 9999 Remained 
StringBuilder_ThreadSafe @ RuleContext.java:137: 1 Unique Traces, 280976 Redundant Traces, 1 Preserved, 9999 Remained 
