Loc,Total,Default
Iterator_RemoveOnceMonitor @ PredictionMode.java:548,1(0),1(0)
ListIterator_RemoveOnceMonitor @ FlexibleHashMap.java:87,1(4),1(4)
ListIterator_RemoveOnceMonitor @ FlexibleHashMap.java:104,1(4),1(4)
ListIterator_RemoveOnceMonitor @ FlexibleHashMap.java:138,2(5),1(5)
ListIterator_RemoveOnceMonitor @ GeneratorVisitor.java:220,49(290001),1(10000)
ListIterator_RemoveOnceMonitor @ GeneratorVisitor.java:221,95(839414),2(19999)
ListIterator_RemoveOnceMonitor @ IntervalSet.java:117,8(24),7(24)
ListIterator_SetMonitor @ IntervalSet.java:116,10(67),10(67)
ListIterator_hasNextPreviousMonitor @ IntervalSet.java:116,10(67),7(5)
List_UnsafeListIteratorMonitor @ IntervalSet.java:116,17(60),17(60)
List_UnsynchronizedSubListMonitor @ GeneratorVisitor.java:179,1(0),1(0)
Map_CollectionViewAddMonitor @ PredictionMode.java:556,1(0),1(0)
Map_UnsafeIteratorMonitor @ PredictionMode.java:470,1(0),1(0)
Map_UnsafeIteratorMonitor @ PredictionMode.java:556,1(0),1(0)
Reader_ManipulateAfterCloseMonitor @ ANTLRInputStream.java:111,1(4),1(4)
StringBuilder_ThreadSafeMonitor @ GeneratorVisitor.java:217,1(88692),1(4409)
StringBuilder_ThreadSafeMonitor @ GeneratorVisitor.java:224,1(2164415),1(10000)
StringBuilder_ThreadSafeMonitor @ RuleContext.java:137,1(280976),1(9999)
__TOTAL__,1239(25601611),508(641488)
