Iterator_HasNext @ AbstractLengauerTarjanDominatorsFinder.java:133: 329 Unique Traces, 85 Redundant Traces, 329 Preserved, 85 Remained 
Iterator_HasNext @ AbstractLengauerTarjanDominatorsFinder.java:162: 278 Unique Traces, 86 Redundant Traces, 39 Preserved, 2 Remained 
Iterator_HasNext @ AbstractLengauerTarjanDominatorsFinder.java:269: 329 Unique Traces, 85 Redundant Traces, 51 Preserved, 5 Remained 
Iterator_HasNext @ ConnectivityFinder.java:127: 24 Unique Traces, 2 Redundant Traces, 24 Preserved, 2 Remained 
Iterator_HasNext @ ConnectivityFinder.java:159: 89 Unique Traces, 50 Redundant Traces, 89 Preserved, 49 Remained 
Iterator_HasNext @ DirectedGraph.java:98: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_HasNext @ DirectedGraph.java:100: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ GraphVar.java:96: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Iterator_HasNext @ GraphVar.java:123: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Iterator_HasNext @ GraphVar.java:409: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Iterator_HasNext @ GraphVar.java:412: 9 Unique Traces, 9 Redundant Traces, 9 Preserved, 9 Remained 
Iterator_HasNext @ GraphVar.java:418: 6 Unique Traces, 4 Redundant Traces, 6 Preserved, 4 Remained 
Iterator_HasNext @ GraphVar.java:422: 8 Unique Traces, 8 Redundant Traces, 8 Preserved, 8 Remained 
Iterator_HasNext @ ISet.java:115: 16 Unique Traces, 2 Redundant Traces, 16 Preserved, 2 Remained 
Iterator_HasNext @ LexNode.java:40: 7 Unique Traces, 3 Redundant Traces, 7 Preserved, 3 Remained 
Iterator_HasNext @ PropACyclic.java:121: 277 Unique Traces, 244 Redundant Traces, 20 Preserved, 19 Remained 
Iterator_HasNext @ PropACyclic.java:138: 458 Unique Traces, 250 Redundant Traces, 49 Preserved, 52 Remained 
Iterator_HasNext @ PropACyclic.java:162: 7 Unique Traces, 35 Redundant Traces, 6 Preserved, 19 Remained 
Iterator_HasNext @ PropACyclic.java:199: 41 Unique Traces, 41 Redundant Traces, 24 Preserved, 25 Remained 
Iterator_HasNext @ PropArborescence.java:90: 124 Unique Traces, 36 Redundant Traces, 21 Preserved, 2 Remained 
Iterator_HasNext @ PropArborescence.java:109: 130 Unique Traces, 30 Redundant Traces, 25 Preserved, 0 Remained 
Iterator_HasNext @ PropArborescences.java:115: 166 Unique Traces, 38 Redundant Traces, 53 Preserved, 3 Remained 
Iterator_HasNext @ PropArborescences.java:129: 174 Unique Traces, 30 Redundant Traces, 28 Preserved, 1 Remained 
Iterator_HasNext @ PropArborescences.java:140: 34 Unique Traces, 16 Redundant Traces, 34 Preserved, 16 Remained 
Iterator_HasNext @ PropArborescences.java:163: 0 Unique Traces, 0 Redundant Traces, 0 Preserved, 0 Remained 
Iterator_HasNext @ PropConnected.java:95: 106 Unique Traces, 288 Redundant Traces, 106 Preserved, 288 Remained 
Iterator_HasNext @ PropConnected.java:106: 63 Unique Traces, 333 Redundant Traces, 63 Preserved, 333 Remained 
Iterator_HasNext @ PropConnected.java:137: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ PropCycle.java:95: 4 Unique Traces, 4 Redundant Traces, 4 Preserved, 4 Remained 
Iterator_HasNext @ PropGirth.java:90: 100 Unique Traces, 3016845 Redundant Traces, 1 Preserved, 43374 Remained 
