Iterator_RemoveOnce @ AttributeSource.java:298: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_RemoveOnce @ BiSegGraph.java:74: 3 Unique Traces, 1388998 Redundant Traces, 2 Preserved, 29998 Remained 
Iterator_RemoveOnce @ BiSegGraph.java:92: 3 Unique Traces, 1739998 Redundant Traces, 2 Preserved, 29999 Remained 
Iterator_RemoveOnce @ BiSegGraph.java:186: 3 Unique Traces, 1739998 Redundant Traces, 2 Preserved, 29999 Remained 
Iterator_RemoveOnce @ CJKSegmenter.java:126: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ IKSegmentation.java:83: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ IKSegmentation.java:103: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SegGraph.java:86: 3 Unique Traces, 3016799 Redundant Traces, 2 Preserved, 30000 Remained 
Iterator_RemoveOnce @ WordSegmenter.java:57: 20 Unique Traces, 119380 Redundant Traces, 12 Preserved, 5968 Remained 
Iterator_RemoveOnce @ WordTokenFilter.java:85: 20 Unique Traces, 119380 Redundant Traces, 5 Preserved, 5960 Remained 
ListIterator_RemoveOnce @ AttributeSource.java:207: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
ListIterator_RemoveOnce @ CJKSegmenter.java:126: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
ListIterator_RemoveOnce @ WordSegmenter.java:57: 20 Unique Traces, 119380 Redundant Traces, 13 Preserved, 6075 Remained 
ListIterator_RemoveOnce @ WordTokenFilter.java:85: 20 Unique Traces, 119380 Redundant Traces, 9 Preserved, 5992 Remained 
List_UnsynchronizedSubList @ WordSegmenter.java:55: 1 Unique Traces, 119399 Redundant Traces, 1 Preserved, 5959 Remained 
Map_CollectionViewAdd @ AttributeSource.java:297: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Map_UnsafeIterator @ AttributeSource.java:297: 5 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Properties_ManipulateAfterLoad @ Configuration.java:49: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Reader_ManipulateAfterClose @ WordlistLoader.java:139: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ AttributeSource.java:78: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ HHMMSegmenter.java:66: 263 Unique Traces, 119137 Redundant Traces, 263 Preserved, 119137 Remained 
StringBuilder_ThreadSafe @ SentenceTokenizer.java:79: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ StandardAnalyzerTest.java:29: 1 Unique Traces, 299 Redundant Traces, 1 Preserved, 30 Remained 
StringBuilder_ThreadSafe @ StandardAnalyzerTest.java:66: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ StandardAnalyzerTest.java:94: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ TermAttributeImpl.java:217: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
