StringBuilder_ThreadSafe @ EthernetAddress.java:135: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
StringBuilder_ThreadSafe @ EthernetAddress.java:436: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ EthernetAddress.java:572: 1 Unique Traces, 62 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ EthernetAddressTest.java:1441: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ EthernetAddressTest.java:1444: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ EthernetAddressTest.java:1453: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ EthernetAddressTest.java:1456: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ EthernetAddressTest.java:1476: 1 Unique Traces, 95 Redundant Traces, 1 Preserved, 14 Remained 
StringBuilder_ThreadSafe @ UUIDComparatorTest.java:123: 1 Unique Traces, 9999999 Redundant Traces, 1 Preserved, 9999 Remained 
StringBuilder_ThreadSafe @ UUIDGeneratorTest.java:350: 1 Unique Traces, 8999 Redundant Traces, 1 Preserved, 483 Remained 
StringBuilder_ThreadSafe @ UUIDGeneratorTest.java:364: 1 Unique Traces, 8999 Redundant Traces, 1 Preserved, 445 Remained 
StringBuilder_ThreadSafe @ UUIDGeneratorTest.java:383: 1 Unique Traces, 8999 Redundant Traces, 1 Preserved, 422 Remained 
StringBuilder_ThreadSafe @ UUIDGeneratorTest.java:391: 1 Unique Traces, 8999 Redundant Traces, 1 Preserved, 527 Remained 
StringBuilder_ThreadSafe @ UUIDGeneratorTest.java:434: 1 Unique Traces, 8999 Redundant Traces, 1 Preserved, 479 Remained 
StringBuilder_ThreadSafe @ UUIDGeneratorTest.java:449: 1 Unique Traces, 8999 Redundant Traces, 1 Preserved, 469 Remained 
StringBuilder_ThreadSafe @ UUIDGeneratorTest.java:467: 1 Unique Traces, 8999 Redundant Traces, 1 Preserved, 489 Remained 
StringBuilder_ThreadSafe @ UUIDGeneratorTest.java:474: 1 Unique Traces, 8999 Redundant Traces, 1 Preserved, 526 Remained 
StringBuilder_ThreadSafe @ UUIDGeneratorTest.java:631: 1 Unique Traces, 44999 Redundant Traces, 1 Preserved, 2238 Remained 
StringBuilder_ThreadSafe @ UUIDGeneratorTest.java:642: 1 Unique Traces, 44999 Redundant Traces, 1 Preserved, 2244 Remained 
StringBuilder_ThreadSafe @ UUIDGeneratorTest.java:657: 1 Unique Traces, 125999 Redundant Traces, 1 Preserved, 6283 Remained 
StringBuilder_ThreadSafe @ UUIDGeneratorTest.java:704: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ UUIDGeneratorTest.java:733: 1 Unique Traces, 17999 Redundant Traces, 1 Preserved, 862 Remained 
StringBuilder_ThreadSafe @ UUIDGeneratorTest.java:737: 1 Unique Traces, 17999 Redundant Traces, 1 Preserved, 843 Remained 
StringBuilder_ThreadSafe @ UUIDGeneratorTest.java:759: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ UUIDGeneratorTest.java:787: 1 Unique Traces, 17999 Redundant Traces, 1 Preserved, 844 Remained 
StringBuilder_ThreadSafe @ UUIDGeneratorTest.java:791: 1 Unique Traces, 17999 Redundant Traces, 1 Preserved, 907 Remained 
StringBuilder_ThreadSafe @ UUIDGeneratorTest.java:802: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ UUIDGeneratorTest.java:811: 1 Unique Traces, 9000 Redundant Traces, 1 Preserved, 470 Remained 
StringBuilder_ThreadSafe @ UUIDGeneratorTest.java:813: 1 Unique Traces, 9000 Redundant Traces, 1 Preserved, 482 Remained 
StringBuilder_ThreadSafe @ UUIDTest.java:769: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 15 Remained 
StringBuilder_ThreadSafe @ UUIDTest.java:968: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ UUIDTest.java:970: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ UUIDTest.java:977: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ UUIDTest.java:979: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
