Appendable_ThreadSafe @ IndexData.java:1684: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ IndexData.java:2800: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ IndexData.java:2806: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ IndexImpl.java:369: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ IndexTest.java:252: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ IndexTest.java:329: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ IndexTest.java:366: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ IndexTest.java:420: 1 Unique Traces, 28 Redundant Traces, 1 Preserved, 28 Remained 
Appendable_ThreadSafe @ IndexTest.java:462: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ IndexTest.java:512: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ IndexTest.java:565: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ IndexTest.java:661: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ InternalColumnValidator.java:64: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ JetFormatTest.java:145: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ JetFormatTest.java:219: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ Joiner.java:269: 1 Unique Traces, 32 Redundant Traces, 1 Preserved, 32 Remained 
Appendable_ThreadSafe @ LocalDateTimeTest.java:94: 1 Unique Traces, 3808 Redundant Traces, 1 Preserved, 181 Remained 
Appendable_ThreadSafe @ LocalDateTimeTest.java:136: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 27 Remained 
Appendable_ThreadSafe @ LocalDateTimeTest.java:259: 1 Unique Traces, 58 Redundant Traces, 1 Preserved, 56 Remained 
Appendable_ThreadSafe @ LongValueColumnImpl.java:237: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ LongValueTest.java:129: 1 Unique Traces, 61 Redundant Traces, 1 Preserved, 18 Remained 
Appendable_ThreadSafe @ LongValueTest.java:141: 1 Unique Traces, 147 Redundant Traces, 1 Preserved, 16 Remained 
Appendable_ThreadSafe @ LongValueTest.java:155: 1 Unique Traces, 52 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ LongValueTest.java:166: 1 Unique Traces, 114 Redundant Traces, 1 Preserved, 35 Remained 
Appendable_ThreadSafe @ LongValueTest.java:168: 1 Unique Traces, 41 Redundant Traces, 1 Preserved, 13 Remained 
