Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:508: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:509: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:340: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:509: 2 Unique Traces, 103 Redundant Traces, 2 Preserved, 18 Remained 
Iterator_HasNext @ DataTableBasic.java:256: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ DataTableBasic.java:259: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ DataTableBasic.java:261: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ DataTableLight.java:142: 1 Unique Traces, 79 Redundant Traces, 1 Preserved, 14 Remained 
Iterator_HasNext @ DataTableLinear.java:186: 6 Unique Traces, 17 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ DataTableLinear.java:187: 1 Unique Traces, 69 Redundant Traces, 1 Preserved, 11 Remained 
Iterator_HasNext @ SABRCubeCalibration.java:238: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 20 Remained 
Iterator_HasNext @ SABRCubeCalibration.java:243: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 14 Remained 
Iterator_HasNext @ SABRCubeCalibration.java:366: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ SABRCubeCalibration.java:373: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:210: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:214: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:226: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 16 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:236: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 24 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:319: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 12 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:324: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 20 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:364: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:365: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:398: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:409: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:410: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 12 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:453: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:459: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:460: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:490: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:496: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:497: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 6 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:529: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:530: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ SwaptionDataLattice.java:337: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Iterator_HasNext @ SwaptionDataLattice.java:348: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_HasNext @ SwaptionDataLattice.java:445: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_HasNext @ SwaptionDataLattice.java:490: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 3 Remained 
