StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:621: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 35 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:626: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 23 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:630: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 6 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:635: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:668: 1 Unique Traces, 119 Redundant Traces, 1 Preserved, 35 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:799: 1 Unique Traces, 143 Redundant Traces, 1 Preserved, 10 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:803: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:804: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableAADFactory.java:125: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableADFactory.java:48: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ RandomVariableFromArrayFactory.java:64: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
