Iterator_RemoveOnce @ DataTableLight.java:201: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_RemoveOnce @ DataTableLight.java:204: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Iterator_RemoveOnce @ DataTableLight.java:206: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 40 Remained 
Iterator_RemoveOnce @ SABRVolatilityCubeParallelFactory.java:174: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SABRVolatilityCubeParallelFactory.java:175: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_RemoveOnce @ SABRVolatilityCubeParallelFactory.java:190: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SABRVolatilityCubeParallelFactory.java:191: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_RemoveOnce @ SABRVolatilityCubeSharedParametersTest.java:236: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SwaptionDataLattice.java:277: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ SwaptionDataLattice.java:337: 4 Unique Traces, 2 Redundant Traces, 4 Preserved, 2 Remained 
Iterator_RemoveOnce @ SwaptionDataLattice.java:348: 3 Unique Traces, 3 Redundant Traces, 3 Preserved, 3 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:277: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:337: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:348: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:401: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Map_UnsafeIterator @ SwaptionDataLattice.java:277: 3 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Map_UnsafeIterator @ SwaptionDataLattice.java:337: 5 Unique Traces, 7 Redundant Traces, 3 Preserved, 3 Remained 
Map_UnsafeIterator @ SwaptionDataLattice.java:348: 4 Unique Traces, 8 Redundant Traces, 2 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ DataTableLight.java:202: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 14 Remained 
StringBuilder_ThreadSafe @ DataTableLight.java:205: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 10 Remained 
StringBuilder_ThreadSafe @ SABRVolatilityCubeSharedParametersTest.java:94: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SABRVolatilityCubeSharedParametersTest.java:165: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SABRVolatilityCubeSharedParametersTest.java:221: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
StringBuilder_ThreadSafe @ SABRVolatilityCubeSharedParametersTest.java:222: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ SABRVolatilityCubeSharedParametersTest.java:223: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ SABRVolatilityCubeSharedParametersTest.java:224: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
StringBuilder_ThreadSafe @ SABRVolatilityCubeSharedParametersTest.java:228: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
