Collection_UnsafeIterator @ DataTableLinear.java:43: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ ArgUtils.java:49: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ DataTablesTest.java:45: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DataTablesTest.java:46: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DataTablesTest.java:47: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ExceptionContext.java:86: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ ExceptionContext.java:87: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ ScheduleGenerator.java:296: 1 Unique Traces, 3586 Redundant Traces, 1 Preserved, 198 Remained 
Iterator_HasNext @ DataTableBasic.java:41: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ DataTableBasic.java:42: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_HasNext @ DataTableBasic.java:193: 1 Unique Traces, 25 Redundant Traces, 1 Preserved, 10 Remained 
Iterator_HasNext @ DataTableBasic.java:208: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ DataTableBasic.java:256: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ DataTableBasic.java:259: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ DataTableBasic.java:261: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 29 Remained 
Iterator_HasNext @ DataTableInterpolated.java:42: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ DataTableInterpolated.java:43: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_HasNext @ DataTableLight.java:142: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_HasNext @ DataTableLight.java:201: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ DataTableLight.java:204: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ DataTableLight.java:206: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_HasNext @ DataTableLinear.java:42: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ DataTableLinear.java:43: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_RemoveOnce @ DataTableBasic.java:41: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ DataTableBasic.java:42: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_RemoveOnce @ DataTableBasic.java:193: 1 Unique Traces, 25 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_RemoveOnce @ DataTableBasic.java:208: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ DataTableBasic.java:256: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ DataTableBasic.java:259: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ DataTableBasic.java:261: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 19 Remained 
