Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibrationTest.java:267: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ScheduleGenerator.java:296: 23 Unique Traces, 17547 Redundant Traces, 23 Preserved, 17547 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:278: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:279: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:280: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:281: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:340: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:509: 2 Unique Traces, 143 Redundant Traces, 2 Preserved, 125 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:129: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:130: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:131: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:132: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:190: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:191: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:193: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:194: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:196: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:197: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ DataTableBasic.java:193: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_HasNext @ DataTableBasic.java:256: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ DataTableBasic.java:259: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ DataTableBasic.java:261: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Iterator_HasNext @ DataTableLight.java:142: 1 Unique Traces, 79 Redundant Traces, 1 Preserved, 18 Remained 
