Iterator_RemoveOnce @ FunctionalImpl.java:271: 4 Unique Traces, 24 Redundant Traces, 3 Preserved, 19 Remained 
Iterator_RemoveOnce @ FunctionalImpl.java:313: 11 Unique Traces, 18 Redundant Traces, 7 Preserved, 14 Remained 
Iterator_RemoveOnce @ FunctionalImpl.java:371: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ FunctionalImpl.java:437: 2 Unique Traces, 134 Redundant Traces, 1 Preserved, 6 Remained 
Iterator_RemoveOnce @ FunctionalTest.java:307: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ Iterables.java:68: 2 Unique Traces, 7 Redundant Traces, 2 Preserved, 7 Remained 
Iterator_RemoveOnce @ Iterables.java:325: 100 Unique Traces, 255 Redundant Traces, 9 Preserved, 35 Remained 
Iterator_RemoveOnce @ Iterables.java:337: 3 Unique Traces, 134 Redundant Traces, 1 Preserved, 5 Remained 
Iterator_RemoveOnce @ Iterables.java:353: 4 Unique Traces, 151 Redundant Traces, 2 Preserved, 23 Remained 
Iterator_RemoveOnce @ Iterables.java:366: 5 Unique Traces, 393 Redundant Traces, 2 Preserved, 17 Remained 
Iterator_RemoveOnce @ Iterables.java:425: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ Iterables.java:490: 2 Unique Traces, 22 Redundant Traces, 2 Preserved, 22 Remained 
Iterator_RemoveOnce @ Iterables.java:552: 10 Unique Traces, 353 Redundant Traces, 2 Preserved, 21 Remained 
Iterator_RemoveOnce @ Iterables.java:677: 6 Unique Traces, 53 Redundant Traces, 4 Preserved, 18 Remained 
Iterator_RemoveOnce @ Iterables.java:711: 5 Unique Traces, 15 Redundant Traces, 5 Preserved, 15 Remained 
Iterator_RemoveOnce @ Iterables.java:713: 1 Unique Traces, 68 Redundant Traces, 1 Preserved, 10 Remained 
Iterator_RemoveOnce @ Iterables.java:740: 7 Unique Traces, 26 Redundant Traces, 4 Preserved, 24 Remained 
Iterator_RemoveOnce @ Iterables.java:801: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 19 Remained 
Iterator_RemoveOnce @ Iterables.java:887: 8 Unique Traces, 38 Redundant Traces, 4 Preserved, 19 Remained 
Iterator_RemoveOnce @ Iterables.java:932: 25 Unique Traces, 29 Redundant Traces, 4 Preserved, 7 Remained 
Iterator_RemoveOnce @ Match.java:227: 2 Unique Traces, 4 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ SortTest.java:30: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SortTest.java:33: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Iterator_RemoveOnce @ Tuple.java:934: 2 Unique Traces, 23 Redundant Traces, 2 Preserved, 23 Remained 
ListIterator_RemoveOnce @ Iterables.java:595: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
ListIterator_hasNextPrevious @ Iterables.java:590: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
List_UnsynchronizedSubList @ SortTest.java:52: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 8 Remained 
OutputStream_ManipulateAfterClose @ PairTest.java:37: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ Builder.java:110: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ FunctionalImpl.java:633: 2 Unique Traces, 8 Redundant Traces, 2 Preserved, 8 Remained 
StringBuilder_ThreadSafe @ Iterables.java:677: 17 Unique Traces, 44 Redundant Traces, 10 Preserved, 18 Remained 
StringBuilder_ThreadSafe @ Iterables.java:679: 3 Unique Traces, 25 Redundant Traces, 3 Preserved, 25 Remained 
StringBuilder_ThreadSafe @ Iterables.java:715: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 18 Remained 
StringBuilder_ThreadSafe @ Iterables.java:739: 10 Unique Traces, 22 Redundant Traces, 7 Preserved, 12 Remained 
StringBuilder_ThreadSafe @ Match.java:38: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ Match.java:58: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ Match.java:68: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ Match.java:85: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ Match.java:129: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ Match.java:155: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ Match.java:163: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ Match.java:207: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ Match.java:231: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ Match.java:236: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ SortTest.java:32: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ SortTest.java:41: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ SortTest.java:55: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 10 Remained 
StringBuilder_ThreadSafe @ SortTest.java:61: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 29 Remained 
Throwable_InitCauseOnce @ FunctionalImpl.java:322: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Throwable_InitCauseOnce @ Iterables.java:715: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 1 Remained 
