Loc,Total,Default
Collection_UnsynchronizedAddAllMonitor @ Pipeline.java:62,1(0),1(0)
Collection_UnsynchronizedAddAllMonitor @ Pipeline.java:71,1(0),1(0)
Collection_UnsynchronizedAddAllMonitor @ RegexComposer.java:37,1(285),1(51)
Collection_UnsynchronizedAddAllMonitor @ RegexDecomposer.java:49,1(159),1(17)
Collection_UnsynchronizedAddAllMonitor @ SchemafulTupleSet.java:45,1(226),1(26)
Collection_UnsynchronizedAddAllMonitor @ TupleSet.java:15,1(201),1(23)
Collection_UnsynchronizedAddAllMonitor @ TupleSet.java:38,1(207),1(18)
Collection_UnsynchronizedAddAllMonitor @ Utils.java:37,1(450727),1(9999)
Collections_SortBeforeBinarySearchMonitor @ AllOf.java:72,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ BeforeAfterTest.java:18,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ CartesianEnumerator.java:22,9(32005),4(1585)
Collections_SortBeforeBinarySearchMonitor @ CartesianEnumerator.java:37,9(7232286),1(10000)
Collections_SortBeforeBinarySearchMonitor @ CartesianEnumerator.java:90,9(408313),5(20409)
Collections_SortBeforeBinarySearchMonitor @ CartesianEnumeratorAdaptor.java:67,27(31987),4(1653)
Collections_SortBeforeBinarySearchMonitor @ CartesianEnumeratorAdaptor.java:84,8(9366),2(499)
Collections_SortBeforeBinarySearchMonitor @ Cartesianator.java:85,3(254),2(24)
Collections_SortBeforeBinarySearchMonitor @ Combinator.java:33,10(26264),3(1339)
Collections_SortBeforeBinarySearchMonitor @ Combinator.java:35,3(26271),1(1348)
Collections_SortBeforeBinarySearchMonitor @ Condition.java:36,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ Condition.java:41,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ Condition.java:46,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ CoveringArrayGenerationUtils.java:213,2(1),2(1)
Collections_SortBeforeBinarySearchMonitor @ CoveringArrayGenerationUtils.java:218,2(2),2(2)
Collections_SortBeforeBinarySearchMonitor @ Expr.java:130,3(72),1(20)
Collections_SortBeforeBinarySearchMonitor @ Expr.java:134,5(22),2(4)
Collections_SortBeforeBinarySearchMonitor @ Expr.java:137,3(94),2(11)
Collections_SortBeforeBinarySearchMonitor @ Expr.java:139,2(10),2(9)
Collections_SortBeforeBinarySearchMonitor @ Functions.java:76,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ Given.java:45,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ Given.java:49,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ InternalUtils.java:225,1(39),1(39)
Collections_SortBeforeBinarySearchMonitor @ IpoGplus.java:156,7(49),7(49)
Collections_SortBeforeBinarySearchMonitor @ IpoGplus.java:218,8(45),5(38)
Collections_SortBeforeBinarySearchMonitor @ IpoGplusTest.java:107,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ IpoGplusTest.java:112,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ IpoGplusTest.java:122,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ IpoGplusTest.java:127,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ IpoGplusTest.java:137,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ IpoGplusTest.java:142,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ IpoGplusTest.java:612,1(2),1(2)
Collections_SortBeforeBinarySearchMonitor @ JCUnit8.java:85,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ JCUnit8.java:102,1(0),1(0)
