Appendable_ThreadSafe @ MorphotacticEngine.java:151: 1 Unique Traces, 46 Redundant Traces, 1 Preserved, 33 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:154: 1 Unique Traces, 87 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:157: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:160: 1 Unique Traces, 113 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:165: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 516 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:168: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 513 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:171: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 529 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:174: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 526 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:179: 1 Unique Traces, 484 Redundant Traces, 1 Preserved, 32 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:183: 1 Unique Traces, 967 Redundant Traces, 1 Preserved, 62 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:187: 1 Unique Traces, 639 Redundant Traces, 1 Preserved, 93 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:190: 1 Unique Traces, 4024 Redundant Traces, 1 Preserved, 214 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:208: 1 Unique Traces, 6796 Redundant Traces, 1 Preserved, 355 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:210: 1 Unique Traces, 10000 Redundant Traces, 1 Preserved, 502 Remained 
Appendable_ThreadSafe @ Transition.java:116: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 512 Remained 
Appendable_ThreadSafe @ Transition.java:255: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 462 Remained 
Appendable_ThreadSafe @ Transition.java:262: 1 Unique Traces, 265 Redundant Traces, 1 Preserved, 23 Remained 
Appendable_ThreadSafe @ Transition.java:276: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 490 Remained 
Appendable_ThreadSafe @ Transition.java:283: 1 Unique Traces, 34 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ Transition.java:289: 1 Unique Traces, 236 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ Transition.java:299: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ Transition.java:303: 1 Unique Traces, 136 Redundant Traces, 1 Preserved, 35 Remained 
Appendable_ThreadSafe @ Transition.java:309: 1 Unique Traces, 1164 Redundant Traces, 1 Preserved, 70 Remained 
Appendable_ThreadSafe @ Transition.java:320: 1 Unique Traces, 173 Redundant Traces, 1 Preserved, 65 Remained 
Appendable_ThreadSafe @ Transition.java:324: 1 Unique Traces, 140 Redundant Traces, 1 Preserved, 65 Remained 
Appendable_ThreadSafe @ Transition.java:328: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ Transition.java:334: 1 Unique Traces, 848 Redundant Traces, 1 Preserved, 60 Remained 
Appendable_ThreadSafe @ Transition.java:343: 1 Unique Traces, 721 Redundant Traces, 1 Preserved, 83 Remained 
Appendable_ThreadSafe @ Transition.java:350: 1 Unique Traces, 3105 Redundant Traces, 1 Preserved, 183 Remained 
Appendable_ThreadSafe @ Transition.java:356: 1 Unique Traces, 719 Redundant Traces, 1 Preserved, 77 Remained 
Appendable_ThreadSafe @ Transition.java:362: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ Transition.java:368: 1 Unique Traces, 126 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ Transition.java:372: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 540 Remained 
Appendable_ThreadSafe @ Transition.java:385: 1 Unique Traces, 26 Redundant Traces, 1 Preserved, 26 Remained 
Appendable_ThreadSafe @ Transition.java:393: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 482 Remained 
Appendable_ThreadSafe @ Transition.java:429: 1 Unique Traces, 10000 Redundant Traces, 1 Preserved, 499 Remained 
Appendable_ThreadSafe @ Transition.java:431: 1 Unique Traces, 10000 Redundant Traces, 1 Preserved, 499 Remained 
Appendable_ThreadSafe @ TxtDictionary.java:390: 1 Unique Traces, 79 Redundant Traces, 1 Preserved, 38 Remained 
Appendable_ThreadSafe @ TxtDictionary.java:393: 1 Unique Traces, 58 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ TxtDictionary.java:396: 1 Unique Traces, 143 Redundant Traces, 1 Preserved, 70 Remained 
Appendable_ThreadSafe @ TxtDictionary.java:400: 1 Unique Traces, 1294 Redundant Traces, 1 Preserved, 94 Remained 
Appendable_ThreadSafe @ TxtDictionary.java:456: 1 Unique Traces, 69 Redundant Traces, 1 Preserved, 43 Remained 
Appendable_ThreadSafe @ TxtDictionary.java:468: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ TxtDictionary.java:473: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ TxtDictionary.java:476: 1 Unique Traces, 76 Redundant Traces, 1 Preserved, 71 Remained 
Appendable_ThreadSafe @ TxtDictionary.java:479: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ TxtDictionary.java:482: 1 Unique Traces, 61 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ TxtDictionary.java:501: 1 Unique Traces, 30 Redundant Traces, 1 Preserved, 21 Remained 
Appendable_ThreadSafe @ XmlDocument.java:68: 1 Unique Traces, 7603 Redundant Traces, 1 Preserved, 374 Remained 
