Collection_UnsafeIterator @ StructureNamesRepositoryTest.java:47: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ TextTracerSimpleMarkupHandler.java:353: 3 Unique Traces, 589821 Redundant Traces, 1 Preserved, 19999 Remained 
Collection_UnsafeIterator @ XmlBlockSelectorMarkupHandlerTest.java:83: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ MarkupEventProcessorHandler.java:1138: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ MarkupEventProcessorHandler.java:1144: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AbstractNestableNode.java:121: 3 Unique Traces, 31 Redundant Traces, 3 Preserved, 31 Remained 
Collections_SortBeforeBinarySearch @ HtmlAutoOpenBlockSelectorMarkupHandlerTest.java:74: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ HtmlAutoOpenBlockSelectorMarkupHandlerTest.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ HtmlAutoOpenBlockSelectorMarkupHandlerTest.java:87: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ HtmlBlockSelectorMarkupHandlerTest.java:73: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ HtmlBlockSelectorMarkupHandlerTest.java:84: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ HtmlBlockSelectorMarkupHandlerTest.java:86: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ HtmlBlockSelectorWithAttributeMarkupHandlerTest.java:73: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ HtmlBlockSelectorWithAttributeMarkupHandlerTest.java:84: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ HtmlBlockSelectorWithAttributeMarkupHandlerTest.java:86: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ HtmlElements.java:341: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ HtmlElements.java:342: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ HtmlMultipleSelectorWithAttributeMarkupHandlerTest.java:73: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ HtmlMultipleSelectorWithAttributeMarkupHandlerTest.java:84: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ HtmlMultipleSelectorWithAttributeMarkupHandlerTest.java:86: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ HtmlNames.java:51: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
