Collections_SortBeforeBinarySearch @ InflectionalGroup.java:108: 4 Unique Traces, 80 Redundant Traces, 4 Preserved, 62 Remained 
Collections_SortBeforeBinarySearch @ InflectionalGroup.java:117: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ NGramDeasciifier.java:95: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ Sentence.java:83: 6 Unique Traces, 9 Redundant Traces, 5 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ Sentence.java:171: 6 Unique Traces, 6 Redundant Traces, 2 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ SimpleDeasciifier.java:99: 5 Unique Traces, 11 Redundant Traces, 5 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ TxtDictionary.java:282: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ TxtWord.java:54: 8 Unique Traces, 186361 Redundant Traces, 4 Preserved, 9354 Remained 
Collections_SortBeforeBinarySearch @ XmlElement.java:89: 4 Unique Traces, 3476 Redundant Traces, 2 Preserved, 158 Remained 
Console_CloseReader @ NGram.java:87: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ FiniteStateMachine.java:148: 141 Unique Traces, 2016 Redundant Traces, 139 Preserved, 2016 Remained 
Iterator_HasNext @ FsmMorphologicalAnalyzer.java:616: 9 Unique Traces, 154 Redundant Traces, 5 Preserved, 27 Remained 
Iterator_HasNext @ FsmMorphologicalAnalyzer.java:662: 19 Unique Traces, 3251 Redundant Traces, 6 Preserved, 206 Remained 
Iterator_HasNext @ FsmParse.java:662: 9 Unique Traces, 230 Redundant Traces, 3 Preserved, 25 Remained 
Iterator_HasNext @ FsmParseList.java:140: 4 Unique Traces, 16 Redundant Traces, 4 Preserved, 16 Remained 
Iterator_HasNext @ FsmParseList.java:168: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_HasNext @ NGramDeasciifier.java:106: 3 Unique Traces, 14 Redundant Traces, 3 Preserved, 14 Remained 
Iterator_HasNext @ NGramNode.java:150: 371 Unique Traces, 95182 Redundant Traces, 33 Preserved, 4912 Remained 
