Collections_SortBeforeBinarySearch @ EdgeRing.java:75: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ EdgeRing.java:128: 4 Unique Traces, 29 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ EdgeRing.java:200: 5 Unique Traces, 12 Redundant Traces, 5 Preserved, 12 Remained 
Collections_SortBeforeBinarySearch @ EdgeRing.java:207: 8 Unique Traces, 8 Redundant Traces, 4 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ GeometryTransformer.java:269: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ GeometryTransformer.java:289: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LazyStringArrayList.java:89: 4 Unique Traces, 17 Redundant Traces, 4 Preserved, 17 Remained 
Collections_SortBeforeBinarySearch @ LazyStringArrayList.java:119: 0 Unique Traces, 0 Redundant Traces, 0 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LazyStringArrayList.java:179: 4 Unique Traces, 17 Redundant Traces, 4 Preserved, 17 Remained 
Collections_SortBeforeBinarySearch @ LazyStringArrayList.java:218: 19 Unique Traces, 10123 Redundant Traces, 6 Preserved, 529 Remained 
Collections_SortBeforeBinarySearch @ LinearComponentExtracter.java:203: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ MCIndexNoder.java:124: 14 Unique Traces, 11 Redundant Traces, 14 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ MonotoneChainBuilder.java:56: 20 Unique Traces, 128 Redundant Traces, 9 Preserved, 22 Remained 
Collections_SortBeforeBinarySearch @ NodeMap.java:111: 3 Unique Traces, 3 Redundant Traces, 3 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ OffsetSegmentString.java:65: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ OverlayOp.java:604: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ PlanarGraph.java:90: 3 Unique Traces, 3 Redundant Traces, 3 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ PlanarGraph.java:95: 5 Unique Traces, 3 Redundant Traces, 2 Preserved, 2 Remained 
