Loc,Total,Default
Iterator_RemoveOnceMonitor @ Automaton.java:435,7(13199),4(683)
Iterator_RemoveOnceMonitor @ Automaton.java:436,4(150030),4(7477)
Iterator_RemoveOnceMonitor @ Automaton.java:442,3(139026),1(6877)
Iterator_RemoveOnceMonitor @ Automaton.java:461,7(13199),4(631)
Iterator_RemoveOnceMonitor @ Automaton.java:464,4(150030),3(7607)
Iterator_RemoveOnceMonitor @ Automaton.java:519,5(6598),3(323)
Iterator_RemoveOnceMonitor @ Automaton.java:648,3(34204),2(1733)
Iterator_RemoveOnceMonitor @ Automaton.java:650,3(34204),2(1750)
Iterator_RemoveOnceMonitor @ Automaton.java:655,1(64011),1(3238)
Iterator_RemoveOnceMonitor @ BasicOperations.java:88,1(4201),1(278)
Iterator_RemoveOnceMonitor @ BasicOperations.java:99,2(4200),2(214)
Iterator_RemoveOnceMonitor @ BasicOperations.java:103,2(4200),2(215)
Iterator_RemoveOnceMonitor @ BasicOperations.java:113,2(4200),2(261)
Iterator_RemoveOnceMonitor @ BasicOperations.java:125,3(8201),3(393)
Iterator_RemoveOnceMonitor @ BasicOperations.java:223,1(21800),1(1064)
Iterator_RemoveOnceMonitor @ BasicOperations.java:227,1(2200),1(145)
Iterator_RemoveOnceMonitor @ BasicOperations.java:417,1(2200),1(121)
Iterator_RemoveOnceMonitor @ BasicOperations.java:421,1(2200),1(100)
Iterator_RemoveOnceMonitor @ BasicOperations.java:466,1(77217),1(4008)
Iterator_RemoveOnceMonitor @ BasicOperations.java:473,1(274664),1(9999)
Iterator_RemoveOnceMonitor @ BasicOperations.java:474,2(241648),2(12195)
Iterator_RemoveOnceMonitor @ MinimizationOperations.java:232,1(4201),1(227)
Iterator_RemoveOnceMonitor @ MinimizationOperations.java:241,5(6598),3(339)
Iterator_RemoveOnceMonitor @ MinimizationOperations.java:295,7(48415),5(2498)
Iterator_RemoveOnceMonitor @ MinimizationOperations.java:319,7(92619),2(4609)
Iterator_RemoveOnceMonitor @ MinimizationOperations.java:331,6(84616),6(4255)
Iterator_RemoveOnceMonitor @ MinimizationOperations.java:335,4(68410),1(3449)
Iterator_RemoveOnceMonitor @ MinimizationOperations.java:361,4(171261),1(8702)
Iterator_RemoveOnceMonitor @ MinimizationOperations.java:374,2(81618),2(4053)
Iterator_RemoveOnceMonitor @ MinimizationOperations.java:386,3(81617),3(4176)
Iterator_RemoveOnceMonitor @ State.java:110,4(298872),4(15089)
ListIterator_RemoveOnceMonitor @ MinimizationOperations.java:295,7(48415),1(2520)
ListIterator_RemoveOnceMonitor @ MinimizationOperations.java:319,7(92619),6(4539)
ListIterator_RemoveOnceMonitor @ MinimizationOperations.java:374,2(81618),2(4041)
StringBuilder_ThreadSafeMonitor @ Xeger.java:193,67(220033),10(11143)
StringBuilder_ThreadSafeMonitor @ XegerTest.java:82,1(109999),1(5470)
Throwable_InitCauseOnceMonitor @ Xeger.java:149,1(199),1(30)
__TOTAL__,1918(15782973),1493(958802)
