Collections_SortBeforeBinarySearch @ AbstRandomBasedFactoryTest.java:278: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ AbstRandomBasedFactoryTest.java:291: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ AbstRandomBasedFactoryTest.java:296: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ AbstRandomBasedFactoryTest.java:297: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ BaseN.java:299: 7 Unique Traces, 62 Redundant Traces, 7 Preserved, 62 Remained 
StringBuilder_ThreadSafe @ BaseN.java:301: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ BaseN.java:304: 13 Unique Traces, 47 Redundant Traces, 12 Preserved, 47 Remained 
StringBuilder_ThreadSafe @ BaseN.java:309: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ BaseNCodec1Test.java:169: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ BaseNCodec1Test.java:176: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ BaseNCodec1Test.java:183: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ BaseNCodec1Test.java:190: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ BaseNCodec3SamplesTest.java:46: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ BaseNCodec3SamplesTest.java:94: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ BaseNCodec3SamplesTest.java:128: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ BaseNRemainderDecoder.java:77: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ ClockSeqPoolTest.java:56: 1 Unique Traces, 199 Redundant Traces, 1 Preserved, 14 Remained 
StringBuilder_ThreadSafe @ GUID.java:588: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 9 Remained 
StringBuilder_ThreadSafe @ InvalidUuidException.java:75: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 59 Remained 
StringBuilder_ThreadSafe @ InvalidUuidException.java:78: 1 Unique Traces, 103 Redundant Traces, 1 Preserved, 63 Remained 
StringBuilder_ThreadSafe @ NameBasedMd5FactoryTest.java:102: 1 Unique Traces, 199 Redundant Traces, 1 Preserved, 26 Remained 
StringBuilder_ThreadSafe @ NameBasedMd5FactoryTest.java:108: 1 Unique Traces, 199 Redundant Traces, 1 Preserved, 17 Remained 
StringBuilder_ThreadSafe @ NameBasedSha1FactoryTest.java:101: 1 Unique Traces, 199 Redundant Traces, 1 Preserved, 19 Remained 
StringBuilder_ThreadSafe @ NameBasedSha1FactoryTest.java:107: 1 Unique Traces, 199 Redundant Traces, 1 Preserved, 28 Remained 
StringBuilder_ThreadSafe @ NcnameCodec.java:194: 1 Unique Traces, 235 Redundant Traces, 1 Preserved, 35 Remained 
StringBuilder_ThreadSafe @ NcnameCodec.java:208: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 14 Remained 
StringBuilder_ThreadSafe @ NcnameCodec.java:215: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ NcnameCodec.java:221: 1 Unique Traces, 255 Redundant Traces, 1 Preserved, 23 Remained 
StringBuilder_ThreadSafe @ PrefixCombFactoryTest.java:81: 1 Unique Traces, 19999 Redundant Traces, 1 Preserved, 1032 Remained 
StringBuilder_ThreadSafe @ SettingsUtilTest.java:47: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ ShortPrefixCombFactoryTest.java:57: 1 Unique Traces, 19999 Redundant Traces, 1 Preserved, 975 Remained 
StringBuilder_ThreadSafe @ ShortPrefixCombFactoryTest.java:85: 1 Unique Traces, 19999 Redundant Traces, 1 Preserved, 1004 Remained 
StringBuilder_ThreadSafe @ ShortSuffixCombFactoryTest.java:58: 1 Unique Traces, 19999 Redundant Traces, 1 Preserved, 1011 Remained 
StringBuilder_ThreadSafe @ ShortSuffixCombFactoryTest.java:86: 1 Unique Traces, 19999 Redundant Traces, 1 Preserved, 980 Remained 
StringBuilder_ThreadSafe @ SlugCodec.java:171: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 8 Remained 
StringBuilder_ThreadSafe @ SlugCodecTest.java:199: 1 Unique Traces, 399 Redundant Traces, 1 Preserved, 60 Remained 
StringBuilder_ThreadSafe @ StringCodecTest.java:86: 1 Unique Traces, 199 Redundant Traces, 1 Preserved, 14 Remained 
StringBuilder_ThreadSafe @ StringCodecTest.java:93: 1 Unique Traces, 199 Redundant Traces, 1 Preserved, 14 Remained 
StringBuilder_ThreadSafe @ StringCodecTest.java:166: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ StringCodecTest.java:174: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ StringCodecTest.java:210: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ StringCodecTest.java:240: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ StringCodecTest.java:247: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ StringCodecTest.java:295: 1 Unique Traces, 399 Redundant Traces, 1 Preserved, 36 Remained 
StringBuilder_ThreadSafe @ SuffixCombFactoryTest.java:80: 1 Unique Traces, 19999 Redundant Traces, 1 Preserved, 1041 Remained 
StringBuilder_ThreadSafe @ TimeOrderedEpochFactoryTest.java:239: 1 Unique Traces, 79999 Redundant Traces, 1 Preserved, 4048 Remained 
StringBuilder_ThreadSafe @ UriCodecTest.java:24: 1 Unique Traces, 199 Redundant Traces, 1 Preserved, 20 Remained 
StringBuilder_ThreadSafe @ UriCodecTest.java:36: 1 Unique Traces, 199 Redundant Traces, 1 Preserved, 21 Remained 
StringBuilder_ThreadSafe @ UriCodecTest.java:56: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ UriCodecTest.java:60: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ UriCodecTest.java:127: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ UriCodecTest.java:135: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ UriCodecTest.java:174: 1 Unique Traces, 199 Redundant Traces, 1 Preserved, 13 Remained 
StringBuilder_ThreadSafe @ UrnCodec.java:69: 1 Unique Traces, 807 Redundant Traces, 1 Preserved, 38 Remained 
StringBuilder_ThreadSafe @ UrnCodecTest.java:23: 1 Unique Traces, 199 Redundant Traces, 1 Preserved, 20 Remained 
StringBuilder_ThreadSafe @ UrnCodecTest.java:35: 1 Unique Traces, 199 Redundant Traces, 1 Preserved, 15 Remained 
StringBuilder_ThreadSafe @ UrnCodecTest.java:55: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ UrnCodecTest.java:59: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ UrnCodecTest.java:126: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ UrnCodecTest.java:134: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ UrnCodecTest.java:173: 1 Unique Traces, 199 Redundant Traces, 1 Preserved, 15 Remained 
Thread_StartOnce @ ClockSeqPoolTest.java:109: 1 Unique Traces, 32767 Redundant Traces, 1 Preserved, 1668 Remained 
Thread_StartOnce @ DefaultClockSeqFunctionTest.java:140: 1 Unique Traces, 32767 Redundant Traces, 1 Preserved, 1622 Remained 
Thread_StartOnce @ NameBasedMd5FactoryTest.java:383: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 22 Remained 
Thread_StartOnce @ NameBasedMd5FactoryTest.java:404: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 29 Remained 
Thread_StartOnce @ NameBasedSha1FactoryTest.java:382: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 37 Remained 
Thread_StartOnce @ NameBasedSha1FactoryTest.java:403: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 31 Remained 
Thread_StartOnce @ PrefixCombFactoryTest.java:134: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 5 Remained 
Thread_StartOnce @ RandomBasedFactoryTest.java:91: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 56 Remained 
